district,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Baleshwar,11.135135411,0,0,4.199594121,4.075701895,1.930918572,2.838388792,0,0,4.199594121,0,0,0,1.567232965,4.199594121,0
Bhadrak,4.38750846,0,0,1.654740069,1.605923582,0.760827889,1.118392761,0,0,1.654740069,0,0,0,0.617527101,1.654740069,0
Kendrapara,2.051479362,10.634420638,0,0,0,0,0,1.725297657,5.886242343,0,0,0,0,0,0,0
Jagatsinghapur,1.418032006,7.350767994,0,0,0,0,0,1.192567346,4.068712654,0,0,0,0,0,0,0
Cuttack,9.213272091,0,0,3.474767201,3.372258094,1.597652614,2.348498449,0,0,3.474767201,0,0,0,1.296737148,3.474767201,0
Jajapur,2.110423877,10.939976123,0,0,0,0,0,1.774870096,6.055369904,0,0,0,0,0,0,0
Dhenkanal,0,2.744156984,6.333543016,0,0,0,0,0,0,0,5.44662,0,0,0,0,0
Anugul,0.994674547,5.156175453,0,0,0,0,0,0.836522998,2.853987002,0,0,0,0,0,0,0
Nayagarh,3.960523379,0,0,1.493703497,1.44963775,0.686785375,1.009552624,0,0,1.493703497,0,0,0,0.557430383,1.493703497,0
Khordha,6.733304546,0,0,2.539452386,2.464536001,1.167607067,1.716345195,0,0,2.539452386,0,0,0,0.947690033,2.539452386,0
Puri,7.438285168,0,0,2.805334422,2.722574252,1.289856158,1.896047464,0,0,2.805334422,0,0,0,1.046913692,2.805334422,0
Ganjam,10.345081266,0,0,3.901626775,3.786524884,1.793917075,2.637000955,0,0,3.901626775,0,0,0,1.456035494,3.901626775,0
Gajapati,2.315455544,0,0,0.873269442,0.84750712,0.401517893,0.590218513,0,0,0.873269442,0,0,0,0.325892603,0.873269442,0
Kandhamal,3.380035504,0,0,1.274773652,1.237166554,0.586124289,0.861584034,0,0,1.274773652,0,0,0,0.475728662,1.274773652,0
Baudh,0.548531677,2.843468323,0,0,0,0,0,0.46131608,1.57388392,0,0,0,0,0,0,0
Sonapur,2.840793027,0,0,1.071399427,1.039792072,0.492615475,0.724129055,0,0,1.071399427,0,0,0,0.399832091,1.071399427,0
Balangir,7.167568227,0,0,2.703234067,2.623485959,1.242911747,1.827040675,0,0,2.703234067,0,0,0,1.00881119,2.703234067,0
Nuapada,0,1.121671182,2.588828818,0,0,0,0,0,0,0,2.2263,0,0,0,0,0
Kalahandi,0,3.534934411,8.158665589,0,0,0,0,0,0,0,7.01616,0,0,0,0,0
Rayagada,2.820052931,0,0,1.063577341,1.032200746,0.489018982,0.718842325,0,0,1.063577341,0,0,0,0.396912993,1.063577341,0
Nabarangapur,1.359750516,7.048649484,0,0,0,0,0,1.143552513,3.901487487,0,0,0,0,0,0,0
Koraput,5.424513224,0,0,2.045844348,1.985489894,0.940652533,1.382729259,0,0,2.045844348,0,0,0,0.763482044,2.045844348,0
Malkangiri,0,1.437782637,3.318417363,0,0,0,0,0,0,0,2.85372,0,0,0,0,0
Koriya,0.953017188,4.940232812,0,0,0,0,0,0.801489088,2.734460912,0,0,0,0,0,0,0
Surguja,3.18731349,16.52233651,0,0,0,0,0,2.680536104,9.145253896,0,0,0,0,0,0,0
Jashpur,0,2.453000105,5.661549895,0,0,0,0,0,0,0,4.86873,0,0,0,0,0
Raigarh,0,3.471059159,8.011240841,0,0,0,0,0,0,0,6.88938,0,0,0,0,0
Korba,0,3.2556729,7.5141271,0,0,0,0,0,0,0,6.46188,0,0,0,0,0
Janjgir,0,3.040966807,7.018583193,0,0,0,0,0,0,0,6.03573,0,0,0,0,0
Bilaspur,0,4.701934954,10.852115046,0,0,0,0,0,0,0,9.33243,0,0,0,0,0
Kawardha,0,1.503955342,3.471144658,0,0,0,0,0,0,0,2.98506,0,0,0,0,0
Rajnandgaon,0,4.221177707,9.742522293,0,0,0,0,0,0,0,8.37822,0,0,0,0,0
Durg,0,6.838339929,15.782960071,0,0,0,0,0,0,0,13.57278,0,0,0,0,0
Raipur,0,8.597433521,19.842966479,0,0,0,0,0,0,0,17.06424,0,0,0,0,0
Mahasamund,0,2.777923503,6.411476497,0,0,0,0,0,0,0,5.51364,0,0,0,0,0
Dhamtari,0,1.841680997,4.250619003,0,0,0,0,0,0,0,3.65538,0,0,0,0,0
Kanker,0,1.82546279,4.21318721,0,0,0,0,0,0,0,3.62319,0,0,0,0,0
Bastar,0,3.207743789,7.403506211,0,0,0,0,0,0,0,6.36675,0,0,0,0,0
Dantewada*,0,1.641817663,3.789332337,0,0,0,0,0,0,0,3.25869,0,0,0,0,0
Narayanpur,0,0.249591109,0.576058891,0,0,0,0,0,0,0,0.49539,0,0,0,0,0
Bijapur,0.042888952,0,0,0.016175483,0.01569829,0.007437276,0.010932559,0,0,0.016175483,0,0,0,0.006036476,0.016175483,0
Sheopur,3.401871303,0,0,1.28300898,1.245158932,0.589910786,0.867150063,0,0,1.28300898,0,0,0,0.478801977,1.28300898,0
Morena,6.729573937,0,0,2.538045394,2.463170517,1.166960151,1.715394248,0,0,2.538045394,0,0,0,0.947164963,2.538045394,0
Bhind,6.805829659,0,0,2.566805088,2.491081771,1.180183483,1.734832125,0,0,2.566805088,0,0,0,0.9578977,2.566805088,0
Gwalior,6.191505428,0,0,2.335113929,2.266225733,1.073654911,1.578238518,0,0,2.335113929,0,0,0,0.871433625,2.335113929,0
Datia,3.614959477,0,0,1.36337476,1.323153841,0.626861923,0.921467057,0,0,1.36337476,0,0,0,0.508793423,1.36337476,0
Shivpuri,7.299913514,0,0,2.753147829,2.671927215,1.265861443,1.860775997,0,0,2.753147829,0,0,0,1.027438345,2.753147829,0
Guna,4.533993536,0,0,1.709986623,1.659540308,0.786229534,1.15573237,0,0,1.709986623,0,0,0,0.638144385,1.709986623,0
Tikamgarh,6.279057327,0,0,2.368133953,2.298271633,1.088837087,1.600555834,0,0,2.368133953,0,0,0,0.883756261,2.368133953,0
Chhatarpur,7.965422735,0,0,3.004143305,2.915518073,1.381265887,2.030416854,0,0,3.004143305,0,0,0,1.121106536,3.004143305,0
Panna,3.919643216,0,0,1.478285625,1.434674721,0.679696439,0.999132113,0,0,1.478285625,0,0,0,0.551676637,1.478285625,0
Sagar,0,4.842593517,11.176756483,0,0,0,0,0,0,0,9.61161,0,0,0,0,0
Damoh,3.808481523,0,0,1.436361214,1.393987122,0.660420142,0.97079657,0,0,1.436361214,0,0,0,0.536031002,1.436361214,0
Satna,0,4.789963696,11.055286304,0,0,0,0,0,0,0,9.50715,0,0,0,0,0
Rewa,0,5.297141657,12.225858343,0,0,0,0,0,0,0,10.5138,0,0,0,0,0
Umaria,2.592355382,0,0,0.977701664,0.948858487,0.449534466,0.660801345,0,0,0.977701664,0,0,0,0.364865326,0.977701664,0
Shahdol,0,2.561161794,5.911188206,0,0,0,0,0,0,0,5.08341,0,0,0,0,0
Sidhi,0,4.083134008,9.423915992,0,0,0,0,0,0,0,8.10423,0,0,0,0,0
Neemuch,3.50455434,0,0,1.321735683,1.282743158,0.607716818,0.893324364,0,0,1.321735683,0,0,0,0.49325427,1.321735683,0
Mandsaur,4.17465508,0,0,1.574462841,1.528014612,0.723917467,1.064135617,0,0,1.574462841,0,0,0,0.587568702,1.574462841,0
Ratlam,5.445983789,0,0,2.053941929,1.993348588,0.944375695,1.388202188,0,0,2.053941929,0,0,0,0.766503954,2.053941929,0
Ujjain,7.651947282,0,0,2.885916663,2.800779235,1.32690682,1.950510757,0,0,2.885916663,0,0,0,1.076985918,2.885916663,0
Shajapur,6.989203407,0,0,2.635964131,2.558200553,1.211981908,1.781574797,0,0,2.635964131,0,0,0,0.98370694,2.635964131,0
Dewas,5.210929375,0,0,1.965291625,1.907313557,0.903615442,1.328285916,0,0,1.965291625,0,0,0,0.733420834,1.965291625,0
Jhabua,5.164440256,0,0,1.947758347,1.890297528,0.89555387,1.31643566,0,0,1.947758347,0,0,0,0.726877646,1.947758347,0
Dhar,0,17.10955,0,0,0,0,0,10.26573,0,0,0,0,0,0,0,0
Indore,8.50056937,0,0,3.205972791,3.111393388,1.474064451,2.166827787,0,0,3.205972791,0,0,0,1.196426631,3.205972791,0
West Nimar,7.927829682,0,0,2.98996516,2.901758197,1.374746961,2.020834241,0,0,2.98996516,0,0,0,1.11581544,2.98996516,0
Barwani,0,11.3167,0,0,0,0,0,6.79002,0,0,0,0,0,0,0,0
