District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan
Banda,790,25.4796224,80.3380213,0.00,3.47,4.97,0.00,0.00,0.00,1.87,1.10,1.08,1.37,1.53,2.00,0.00,0.44
Chitrakoot,"1,038",25.1093692,81.0754657,1.00,3.89,5.00,0.00,0.40,0.00,1.82,0.60,0.89,0.60,1.79,0.00,0.56,0.29
Fatehpur,837,25.9200736,80.8099941,0.00,0.00,0.00,0.00,0.00,0.00,2.62,1.14,1.03,0.81,0.66,1.00,0.00,0.35
Pratapgarh,793,25.8973038,81.9452981,2.00,0.00,1.99,0.25,0.00,0.00,2.41,0.51,0.88,0.83,2.48,0.50,0.00,0.61
Kaushambi,812,25.361054,81.4031707,0.00,14.20,0.00,0.00,0.00,0.00,1.78,0.82,0.00,0.64,1.95,0.00,0.00,0.55
Allahabad,"1,069",25.4358011,81.846311,0.00,2.97,0.00,0.00,0.00,0.00,1.98,0.42,0.40,0.64,2.62,1.00,5.00,0.77
Barabanki,815,26.9400001,81.19,1.00,1.00,1.95,0.00,0.00,0.00,2.12,0.74,0.64,1.39,1.93,0.50,0.00,0.50
Faizabad,"1,027",26.7732476,82.1441643,0.00,0.00,0.50,0.25,0.00,0.00,1.69,0.39,0.35,0.88,4.87,0.25,0.00,0.75
Ambedkar Nagar,"1,106",26.4683952,82.6915429,0.00,0.00,3.51,0.00,0.00,0.00,2.35,1.67,0.23,1.56,4.80,0.00,0.00,0.83
Sultanpur,"1,146",26.2647757,82.0727061,0.00,0.00,6.50,0.00,0.00,0.00,3.16,0.53,1.21,1.24,3.88,1.00,0.00,0.67
Bahraich,867,27.5708377,81.5980246,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.03,1.21,1.34,1.99,3.00,0.00,0.62
Shrawasti,776,27.5977504,81.9534815,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.97,1.33,0.78,1.42,1.00,0.00,0.73
Balrampur,969,27.4297064,82.1768018,0.00,0.00,0.00,0.00,0.00,0.00,2.88,0.81,1.10,0.95,2.04,0.00,0.00,1.07
