District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,"arha, tur",moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Haveri,-0.139967579,14.7959027,75.3971254,1.612231668,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.895505218,0.971581772,-0.188241154,-0.067446023,-0.717028716,-0.541972036,-0.602345242,0.00030747,-0.177058742,-0.580928654,-0.204487081
Bellary,-0.575142194,15.1393932,76.9214428,1.555740357,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.99461556,1.176042645,-0.970869515,-0.290965089,-0.797021758,-0.613049243,-0.044470069,-0.358935395,0.483237338,-0.827258924,-0.05435506
Chitradurga,-0.609187016,14.2305594,76.3984537,0.991740259,0.501354605,-0.495215578,-0.207659596,-0.166393773,3.627732179,1.020265147,-1.16385496,-1.080690986,-1.068547866,-0.607099703,0.559464386,0.038862827,0.37451133,-0.763865926,0.209995803
Davanagere,-0.39736461,14.4663438,75.9238397,0.724962737,-0.406093059,-0.495215578,-0.207659596,-0.166393773,1.987981504,0.007184891,-0.465999705,-0.867929302,-0.785579871,-0.539440791,0.559464386,-0.335337193,0.554693062,-0.906612704,0.021349603
Shimoga,-0.300241559,13.9299299,75.568101,1.113557131,0.350113328,-0.022419923,-0.207659596,-0.166393773,2.009686445,-0.515084493,-1.016155975,-1.412136722,-0.990491882,-0.718918406,-0.369983313,-0.708650124,-0.321554871,-0.779118757,-0.422231332
Udupi,1.14062619,13.3408807,74.7421427,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.288396637,-0.910266145,-0.658117201,-0.461593667,-0.435037949,-0.310012973,-0.137621384,-0.286748791,0.257614693,0.096630561,-0.090482716
Chikmagalur,-0.453670224,13.315258,75.7754018,0.095816248,-0.406093059,-0.495215578,-0.207659596,0.765133648,1.698422657,-0.488094726,-1.60111945,-1.748309403,-0.957339985,-0.580170909,-0.602345242,-0.835545955,-0.276875282,-1.163186544,-0.541016135
Tumkur,-0.489912001,13.3391677,77.1139984,-0.148169448,-0.406093059,-0.495215578,-0.207659596,-0.166393773,5.449088814,0.568792785,-0.535053062,-0.943745617,-0.685540955,-0.580859125,-0.021440428,0.38894403,1.198479777,-0.402691178,0.185467367
Kolar,0.451522639,13.1357446,78.1325611,-0.110069904,-0.406093059,-0.337617027,-0.207659596,0.881574576,5.519951921,0.855083075,-0.129315625,-0.547512263,-0.366447728,-0.490404377,-0.486164277,-0.135932522,0.660676128,-0.563639602,0.40969375
Bangalore,3.009823018,12.9715987,77.5945627,-0.086539944,-0.406093059,-0.495215578,-0.207659596,-0.166393773,2.253996386,0.634456411,-0.311881705,-0.714839555,0.056196166,-0.456398396,-0.602345242,0.014387786,0.352559442,-0.502391742,-0.26046025
Bangalore Rural,0.390332613,13.2846993,77.6077865,-0.340805136,-0.406093059,-0.180018475,-0.207659596,-0.166393773,4.912604038,1.023017834,-0.66101561,-0.872652594,-0.476928406,-0.530506725,-0.602345242,0.372881381,-0.663258617,-0.199440852,-0.870323123
Mandya,0.399066351,12.5221567,76.9009191,0.664414678,-0.406093059,-0.495215578,-0.207659596,0.998015504,3.923921114,0.08718903,-1.262044013,-1.307342134,-0.463420654,-0.420482021,-0.428073791,0.724423306,-0.277275077,0.120658989,-0.360966659
Hassan,-0.296537412,13.0068142,76.0995519,-0.340805136,-0.406093059,-0.337617027,-0.207659596,-0.166393773,3.810212325,-0.620224797,-1.035038852,-0.907877713,-0.871311523,-0.544418391,-0.602345242,-0.628721358,-0.193549379,-0.594600315,-0.416673607
Dakshina Kannada,1.237204435,12.8437814,75.2479061,0.315634649,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.248480235,-0.836602382,-0.634903628,-0.437883653,0.14657324,-0.277218518,-0.602345242,-0.520680019,0.129503355,-0.090833882,-0.097273596
Kodagu,4.611745384,12.3374942,75.8069082,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.392304129,-0.858774086,-0.724264129,-0.833285493,-0.425316313,-0.546292604,-0.602345242,-0.681976675,-0.029352817,0.350338169,0.044202974
Mysore,0.285529085,12.2958104,76.6393805,0.379331283,-0.406093059,-0.495215578,-0.207659596,-0.166393773,2.791556668,0.32872567,-1.234866568,-1.748309403,-0.348855915,-0.57651851,-0.602345242,0.624550027,-0.408508478,-0.588622293,-0.374683153
Chamarajanagar,-0.082173169,11.9261471,76.9437312,0.213594058,-0.406093059,-0.495215578,-0.207659596,-0.166393773,3.53898166,0.491857405,-0.430602283,-1.748309403,-0.502370417,-0.010018167,-0.602345242,1.021636316,-0.419978618,1.342952124,-0.36514198
Ramanagar,-0.057515497,15.4181142,74.4812964,0.120665327,-0.406093059,-0.495215578,-0.207659596,-0.166393773,4.819942668,0.763098469,-0.473713039,-1.748309403,0.598103244,-0.489583705,-0.602345242,0.940983961,0.128243183,-0.292529502,0.614461619
Chikkaballapura,-0.15910538,13.4311546,77.7139458,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,5.779933071,1.262628123,-0.250782996,-0.907877713,-0.521016812,-0.322297559,-0.602345242,0.63626903,2.357828786,-0.003749787,2.060859722
North Goa,2.035069667,15.5163112,73.9830029,0.491610269,-0.406093059,-0.495215578,-0.207659596,0.066488083,0.15960883,-0.7589256,-0.356572143,-0.511355276,-0.697460089,-0.205316688,-0.602345242,-0.322815931,0.63671727,-0.002768547,0.022780807
South Goa,2.589174416,15.11766,74.123996,0.886918836,-0.406093059,-0.495215578,-0.207659596,0.097716466,0.185778846,-0.792750276,-0.166696767,-0.651791348,-0.486558344,-0.2339543,-0.602345242,-0.566690233,-0.232467875,-0.08649377,0.101363881
Lakshadweep,2.606659623,8.2954408,73.0489728,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.154159173,0.67531027,0.964403983,-0.067446023,0.313840598,0.397343617,0.710182674,0.273439951,-0.663258617,-1.926201186,-0.084667689
Kasaragod,-0.221893031,12.5102239,74.9851678,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.154159173,-1.116032759,-0.708011681,-0.886248705,-0.363951795,-0.297730875,-0.602345242,-0.411239301,-0.285622692,-0.834138098,-0.734258891
Kannur,0.372520477,11.8744775,75.3703662,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.771838005,-0.918726702,-0.148626157,-0.703229486,0.099014921,-0.083048932,0.243827913,-0.009594699,-0.663258617,-1.659362352,-0.627500202
Wayanad,1.150449096,11.703206,76.0833999,-0.340805136,-0.406093059,-0.495215578,-0.020947083,-0.166393773,-0.004334951,-1.214084313,-0.379970049,-1.230618632,-0.9229169,-0.283897344,-0.602345242,-0.476059106,0.847285085,-1.515412963,-0.521173139
Kozhikode,0.827940235,11.2587531,75.78041,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.182067085,-1.13573956,-0.1551167,-0.067446023,-0.537549172,-0.358334963,0.050423117,-0.528913033,0.608684415,-0.942754459,-0.638768566
Malappuram,0.351966359,11.0731819,76.0739999,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.014877555,-1.127131696,0.002921241,-0.869047445,-0.312781324,-0.056629331,-0.602345242,-0.178382974,-0.286832467,-0.455614444,-0.444494787
Palakkad,0.613666646,10.7867303,76.6547932,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.045835217,-0.914737759,-0.746497405,-1.580223062,-0.03883007,-0.117582377,-0.602345242,-0.155306516,0.881958409,-0.688644064,-0.337376561
Thrissur,1.558896088,10.5276416,76.2144349,-0.340805136,-0.406093059,-0.495215578,-0.160981468,-0.166393773,0.061093289,-0.421396251,-0.498945567,-0.683141518,-0.107602466,-0.047329334,0.528364981,0.349732899,0.125007701,-0.577133522,-0.21821669
Ernakulam,2.157068489,9.9816358,76.2998842,-0.340805136,-0.330472421,-0.328167864,-0.133549676,-0.166393773,-0.082104805,-0.827202849,-0.314424775,-0.54931882,-0.248582764,-0.161926081,0.960424034,-0.303251884,-0.031093367,0.772968213,-0.454183974
Idukki,1.9235117,9.8138076,76.9297354,0.120665327,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.339358608,-1.032504124,-0.589036779,3.294280737,-0.372899355,-0.234513728,-0.602345242,-0.198867603,-0.663258617,-0.331721026,-0.031467153
Kottayam,2.508574186,9.5915668,76.5221531,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.189400918,-0.995192713,-0.384048469,-0.067446023,0.028026134,-0.096541299,1.1403692,-0.052450995,0.923791547,-0.553789371,0.055830047
Alappuzha,1.389017301,9.4980667,76.3388484,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.109852047,-1.06451421,-0.190258381,-1.748309403,-0.005274745,-0.374150718,-0.021440428,-0.50219346,0.092013234,-0.258458435,-0.627489253
Pathanamthitta,1.476135696,9.2647582,76.7870414,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.002239655,-1.198376358,-0.823641166,-0.907877713,-0.114123259,-0.389497653,-0.602345242,-0.607145566,0.092013234,-1.538913354,-0.605585735
Kollam,1.401799625,8.8932118,76.6141396,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,0.133986204,-1.104655228,0.154491019,-0.672225949,0.394889599,-0.188799844,0.020862574,-0.593874012,-0.007870551,-0.442168933,-0.414335208
Thiruvananthapuram,2.069114489,8.5241391,76.9366376,-0.340805136,-0.406093059,-0.428055653,-0.012469677,-0.166393773,-0.073721066,-1.056620937,-0.150653824,0.804696062,0.658296541,-0.379925703,0.066132657,-0.325405744,0.076826794,0.334093994,-0.447163969
Thiruvallur,1.451587074,13.1444426,79.8940078,-0.340805136,-0.038072618,-0.337617027,0.131211155,-0.166393773,0.28449691,0.401387717,-0.830493491,-0.270159317,0.713333745,-0.267373051,-0.602345242,-0.492709114,-0.137561925,-0.135668531,-0.455366465
Chennai,2.586995192,13.0826802,80.2707184,-0.340805136,-0.406093059,-0.416416302,-0.207659596,-0.166393773,0.108918078,0.491408945,-0.691063766,-0.759432574,0.766954565,-0.315672587,-0.021440428,-0.654322142,-0.07557677,-0.44453541,-0.330365333
Kancheepuram,1.114534247,12.8341735,79.7036402,-0.03315816,-0.256286551,-0.495215578,-0.207659596,0.299369938,0.423929085,0.519647336,-1.026171979,-1.04258032,0.972998824,-0.370588351,-0.602345242,-0.542319716,-0.074479432,-0.399174926,-0.436350914
Vellore,-0.184580039,12.9165167,79.1324986,-0.340805136,-0.406093059,-0.495215578,1.054154272,0.196889904,0.658064594,0.451685825,-0.935220431,-1.748309403,1.028093739,-0.388658962,-0.602345242,-0.574095483,-0.014921474,-0.315771808,-0.238572806
